epoch,train_loss,train_ce,train_kd,train_center,train_relation,train_embedding,train_logit_kd,train_topk,train_margin,train_anchor,train_teacher1_kd,train_teacher2_kd,teacher2_active,train_tdl,train_contrast,train_topkd,train_tckd,train_nckd,hard_ratio,avg_true_rank,weighted_center,weighted_feature,weighted_relation,center_weight_effective,feature_weight_effective,relation_weight_effective,grad_norm_ce,grad_norm_center,grad_norm_feature,grad_norm_relation,adaptive_stage,icd_sdc_active,icd_positive_pairs,icd_bank_occupancy,icd_true_class_margin,train_acc,val_loss,val_acc,lr,time_s,val_true_class_margin
10,3.231404,24.34554,0.79685,0.0,0.0,0.79685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,1.0,-7.03493304,0.0046,5.273771,0.0635,0.001,26.5,-3.370358
11,3.296326,25.140864,0.782239,0.0,0.0,0.782239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,1.0,-6.24263393,0.0064,5.128878,0.0683,0.00099997,26.4,-3.315601
12,3.365224,25.964266,0.768797,0.0,0.0,0.768797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,1.0,-5.4812128,0.0168,4.067208,0.1367,0.00099988,26.2,-2.177726
13,3.444096,26.847516,0.759344,0.0,0.0,0.759344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,1.0,-4.78316592,0.0232,3.738792,0.1739,0.00099974,26.5,-1.91751
14,3.529501,27.818574,0.747644,0.0,0.0,0.747644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,1.0,-4.20340402,0.0384,3.226536,0.253,0.00099953,26.4,-1.407047
15,3.6204,28.851142,0.735285,0.0,0.0,0.735285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,1.0,-3.69209449,0.0555,2.92522,0.2938,0.00099927,26.5,-1.0583
16,3.716048,29.928702,0.723177,0.0,0.0,0.723177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,1.0,-3.24570312,0.083,3.673031,0.1763,0.00099895,26.6,-2.140434
17,3.813329,31.010161,0.712312,0.0,0.0,0.712312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,1.0,-2.85988653,0.1174,3.122227,0.2806,0.00099856,27.1,-1.670395
18,3.907117,32.09875,0.697242,0.0,0.0,0.697242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,1.0,-2.48018043,0.1406,3.310035,0.2818,0.00099813,28.0,-1.8878
19,4.008679,33.230758,0.685603,0.0,0.0,0.685603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,1.0,-2.18317987,0.1921,2.529135,0.3645,0.00099763,28.1,-0.876118
20,4.099535,34.267974,0.672737,0.0,0.0,0.672737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,1.0,-1.78132092,0.2475,3.677401,0.2374,0.00099707,28.0,-2.358946
21,4.047666,33.873529,0.660313,0.0,0.0,0.660313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,1.0,-1.43589652,0.2984,4.55829,0.1823,0.00099646,28.3,-3.614761
22,3.997139,33.479728,0.649166,0.0,0.0,0.649166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,1.0,-1.08896586,0.3412,2.826603,0.3837,0.00099579,28.8,-1.193952
23,3.941846,33.037943,0.638052,0.0,0.0,0.638052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,1.0,-0.71823164,0.3979,1.426704,0.6187,0.00099505,28.8,1.556138
24,3.871854,32.446139,0.62724,0.0,0.0,0.62724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,1.0,-0.1784341,0.4631,3.979589,0.3405,0.00099427,28.7,-2.507368
25,3.800443,31.84521,0.615922,0.0,0.0,0.615922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,1.0,0.31613508,0.5235,1.3299,0.699,0.00099342,28.9,2.616817
26,3.699856,30.928293,0.607027,0.0,0.0,0.607027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,1.0,1.10096842,0.5813,2.087601,0.5899,0.00099252,29.0,1.557246
27,3.572297,29.784404,0.593857,0.0,0.0,0.593857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,1.0,2.04260428,0.6487,1.454198,0.7266,0.00099155,28.8,3.97732
28,3.455014,28.705043,0.584509,0.0,0.0,0.584509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,1.0,2.87162853,0.696,2.76199,0.5779,0.00099053,28.7,1.107982
29,3.30447,27.335117,0.570958,0.0,0.0,0.570958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,1.0,3.95434338,0.7576,1.160051,0.783,0.00098946,28.7,5.253029
30,3.145619,25.879179,0.557701,0.0,0.0,0.557701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,1.0,5.11391369,0.8118,1.037339,0.8094,0.00098832,28.9,6.60423
31,3.004949,24.581668,0.546783,0.0,0.0,0.546783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,1.0,6.12265625,0.8478,1.992085,0.7014,0.00098713,29.2,3.663784
32,2.860831,23.242776,0.536553,0.0,0.0,0.536553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,1.0,7.16930804,0.8784,0.699891,0.8693,0.00098588,29.3,8.722413
33,2.742439,22.147568,0.527682,0.0,0.0,0.527682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,1.0,7.98578869,0.8987,0.60248,0.8909,0.00098458,29.3,10.697579
34,2.644285,21.250392,0.519246,0.0,0.0,0.519246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,1.0,8.67526042,0.9118,0.809535,0.8525,0.00098321,29.7,8.334386
35,2.520012,20.125611,0.507451,0.0,0.0,0.507451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,1.0,9.5280878,0.9286,0.434951,0.9245,0.00098179,29.1,11.894146
36,2.408754,19.104361,0.498318,0.0,0.0,0.498318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,1.0,10.30792411,0.9353,0.577688,0.8957,0.00098032,29.2,10.190589
37,2.318281,18.278983,0.490382,0.0,0.0,0.490382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,1.0,10.93608631,0.9476,0.299405,0.9484,0.00097879,29.0,14.122311
38,2.232576,17.520542,0.480522,0.0,0.0,0.480522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,1.0,11.5203125,0.9522,0.384314,0.9305,0.0009772,28.8,13.114197
39,2.161117,16.873565,0.473761,0.0,0.0,0.473761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,1.0,12.00840774,0.9621,0.220004,0.9616,0.00097555,29.0,15.292349
40,2.122099,16.539003,0.468199,0.0,0.0,0.468199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,1.0,12.26316964,0.9628,0.23017,0.9616,0.00097385,29.0,15.861123
41,2.029509,15.715848,0.457924,0.0,0.0,0.457924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,1.0,12.94903274,0.9708,0.242161,0.9604,0.0009721,28.9,16.645927
42,1.97821,15.282294,0.449981,0.0,0.0,0.449981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,1.0,13.26666667,0.9692,0.164598,0.9664,0.00097029,29.3,16.584888
43,1.930531,14.85115,0.445416,0.0,0.0,0.445416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,1.0,13.61599702,0.9762,0.166294,0.9712,0.00096842,29.2,17.612005
44,1.86992,14.329416,0.436979,0.0,0.0,0.436979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,1.0,14.05610119,0.9763,0.191432,0.9652,0.0009665,29.2,17.355288
45,1.840386,14.081379,0.432248,0.0,0.0,0.432248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,1.0,14.26264881,0.9802,0.182166,0.9676,0.00096452,29.7,17.13692
46,1.795834,13.688879,0.426946,0.0,0.0,0.426946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,1.0,14.59895833,0.9812,0.156672,0.9688,0.00096249,29.4,18.361174
47,1.760836,13.413799,0.419456,0.0,0.0,0.419456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,1.0,14.83162202,0.9826,0.177456,0.964,0.00096041,29.0,16.138838
48,1.729968,13.147648,0.415204,0.0,0.0,0.415204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,1.0,15.0608631,0.9847,0.178582,0.97,0.00095827,29.2,17.063972
49,1.684346,12.742278,0.410118,0.0,0.0,0.410118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,1.0,15.390625,0.9879,0.120244,0.9736,0.00095608,29.5,18.147156
50,1.656016,12.509626,0.405053,0.0,0.0,0.405053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,1.0,15.63087798,0.9869,0.118985,0.988,0.00095383,28.7,19.861274
51,1.628476,12.294338,0.399042,0.0,0.0,0.399042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,1.0,15.80691964,0.9872,0.099327,0.9832,0.00095154,39.5,20.784975
52,1.589391,11.954008,0.39399,0.0,0.0,0.39399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,1.0,16.13794643,0.9902,0.071891,0.988,0.00094918,29.2,20.424473
53,1.572457,11.829638,0.389493,0.0,0.0,0.389493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,1.0,16.22403274,0.989,0.111305,0.9808,0.00094678,29.8,20.032008
54,1.553188,11.65487,0.387701,0.0,0.0,0.387701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,1.0,16.41004464,0.9917,0.10668,0.9808,0.00094432,29.2,19.648151
55,1.514104,11.308835,0.383221,0.0,0.0,0.383221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,1.0,16.7171131,0.9921,0.081869,0.9868,0.00094181,29.3,20.776611
56,1.512572,11.317118,0.38086,0.0,0.0,0.38086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,1.0,16.73950893,0.9926,0.149651,0.982,0.00093925,30.0,20.161411
57,1.479117,11.036946,0.375422,0.0,0.0,0.375422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,1.0,16.9874256,0.9939,0.121128,0.9784,0.00093664,29.5,19.045205
58,1.442394,10.692155,0.373178,0.0,0.0,0.373178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,1.0,17.29196429,0.9935,0.078202,0.9796,0.00093398,29.3,19.618074
59,1.444802,10.750049,0.369797,0.0,0.0,0.369797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,1.0,17.29181548,0.9933,0.08857,0.9832,0.00093126,29.6,21.614322
60,1.405314,10.390351,0.366278,0.0,0.0,0.366278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,1.0,17.5921131,0.9938,0.058825,0.9892,0.0009285,29.2,22.137051
61,1.390253,10.272357,0.363017,0.0,0.0,0.363017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,1.0,17.70543155,0.9949,0.069985,0.9868,0.00092569,29.1,21.911645
62,1.373361,10.132201,0.360141,0.0,0.0,0.360141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,1.0,17.85572917,0.9949,0.045775,0.9928,0.00092282,28.9,22.989737
63,1.348211,9.923107,0.3559,0.0,0.0,0.3559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,1.0,18.0499256,0.9964,0.072705,0.9844,0.00091991,28.9,20.806373
64,1.329822,9.758294,0.353992,0.0,0.0,0.353992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,1.0,18.20282738,0.9963,0.053144,0.9904,0.00091694,29.4,22.995093
65,1.32597,9.738031,0.352167,0.0,0.0,0.352167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,1.0,18.25186012,0.9957,0.047017,0.988,0.00091393,29.2,22.524724
66,1.299631,9.512998,0.348331,0.0,0.0,0.348331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,1.0,18.45193452,0.996,0.042615,0.9892,0.00091087,29.2,23.036427
67,1.273862,9.280333,0.345829,0.0,0.0,0.345829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,1.0,18.66949405,0.9969,0.061803,0.9856,0.00090776,29.6,21.532645
68,1.291834,9.46503,0.345331,0.0,0.0,0.345331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,1.0,18.54196429,0.9966,0.041481,0.9928,0.0009046,29.2,22.98013
69,1.264888,9.224436,0.342444,0.0,0.0,0.342444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,1.0,18.75625,0.9967,0.029547,0.9952,0.0009014,29.1,23.597664
70,1.237705,8.97722,0.339983,0.0,0.0,0.339983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,1.0,18.98169643,0.9973,0.035571,0.9904,0.00089815,29.0,23.471775
71,1.24625,9.067523,0.339498,0.0,0.0,0.339498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,1.0,18.96235119,0.9966,0.049933,0.9892,0.00089485,29.3,21.762058
72,1.205972,8.700498,0.335922,0.0,0.0,0.335922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,1.0,19.25089286,0.997,0.028238,0.9928,0.00089151,29.3,24.186336
73,1.201785,8.673959,0.334389,0.0,0.0,0.334389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,1.0,19.3203869,0.9973,0.051508,0.9892,0.00088812,29.2,23.410125
74,1.185969,8.533053,0.332664,0.0,0.0,0.332664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,1.0,19.45,0.9976,0.036248,0.9916,0.00088468,29.2,24.034897
